Sentence_ID,Domain,Model,CLS_Attention_Max,CLS_Attention_Mean,Self_Attention_Mean,Content_Function_Ratio,Attention_Entropy
S1,World,BERT,0.10847208648920059,0.03333333507180214,0.08769961446523666,1.3492064476013184,61.73025894165039
S1,World,DistilBERT,0.17090046405792236,0.03333333507180214,0.0695636123418808,0.888443648815155,62.51445770263672
S1,World,RoBERTa,0.2806922495365143,0.03333333134651184,0.12756963074207306,3.807903528213501,60.199256896972656
S2,World,BERT,0.1022854745388031,0.03999999910593033,0.11193027347326279,1.5874249935150146,53.60852813720703
S2,World,DistilBERT,0.19644731283187866,0.03999999910593033,0.08264784514904022,2.178241729736328,50.663089752197266
S2,World,RoBERTa,0.26951292157173157,0.03846153989434242,0.1278272122144699,1.5009393692016602,53.20509338378906
S3,World,BERT,0.10356972366571426,0.038461532443761826,0.11615750193595886,0.7647240161895752,49.65320587158203
S3,World,DistilBERT,0.18273647129535675,0.03846153989434242,0.08472704142332077,0.9950246810913086,54.51932907104492
S3,World,RoBERTa,0.2587755024433136,0.03999999910593033,0.12056075781583786,39.999996185302734,51.66025924682617
S4,World,BERT,0.10747259855270386,0.0357142873108387,0.10154062509536743,2.1557188034057617,63.508514404296875
S4,World,DistilBERT,0.12383671849966049,0.0357142873108387,0.07845693826675415,2.1258721351623535,62.89634323120117
S4,World,RoBERTa,0.25966939330101013,0.03448275476694107,0.14197418093681335,34.482757568359375,58.00651550292969
S5,World,BERT,0.19941402971744537,0.0416666641831398,0.11568138003349304,2.6639604568481445,46.57410430908203
S5,World,DistilBERT,0.24109530448913574,0.0416666679084301,0.0892079547047615,1.8637477159500122,45.871986389160156
S5,World,RoBERTa,0.28072822093963623,0.03999999910593033,0.14051276445388794,39.999996185302734,51.45220184326172
S6,World,BERT,0.10627937316894531,0.0357142873108387,0.0965629369020462,2.356778621673584,62.709930419921875
S6,World,DistilBERT,0.14152438938617706,0.0357142873108387,0.08508268743753433,2.6432721614837646,63.065452575683594
S6,World,RoBERTa,0.27157264947891235,0.03703703731298447,0.11485825479030609,37.03703689575195,55.34405517578125
S7,World,BERT,0.17550057172775269,0.043478261679410934,0.1118750274181366,2.8278696537017822,48.11115264892578
S7,World,DistilBERT,0.1354542076587677,0.043478261679410934,0.08346368372440338,2.4673168659210205,48.360023498535156
S7,World,RoBERTa,0.2665999233722687,0.0416666641831398,0.14210595190525055,41.666664123535156,50.31189727783203
S8,World,BERT,0.15762074291706085,0.0476190485060215,0.12905511260032654,1.6082907915115356,41.358036041259766
S8,World,DistilBERT,0.175078883767128,0.0476190447807312,0.08833403140306473,1.9738404750823975,40.64247131347656
S8,World,RoBERTa,0.2769068777561188,0.0476190485060215,0.11799847334623337,47.61904525756836,42.179359436035156
S9,World,BERT,0.11935535073280334,0.03846153989434242,0.1066226214170456,2.0459558963775635,54.0291748046875
S9,World,DistilBERT,0.19275517761707306,0.038461536169052124,0.08560947328805923,2.2790393829345703,54.65365982055664
S9,World,RoBERTa,0.27650776505470276,0.03846153989434242,0.13247619569301605,38.4615364074707,51.04647445678711
S10,World,BERT,0.14362625777721405,0.03448275849223137,0.10897673666477203,2.2510063648223877,63.005462646484375
S10,World,DistilBERT,0.17640475928783417,0.03448275849223137,0.08210241049528122,2.472315549850464,62.33963394165039
